"id_estado","0-9_Hombres","10-19_Hombres","20-35_Hombres","36-59_Hombres","60+_Hombres","0-9_Mujeres","10-19_Mujeres","20-35_Mujeres","36-59_Mujeres","60+_Mujeres"
1,4,9,40,32,3,0,5,12,6,2
2,6,61,250,197,24,6,44,76,37,2
3,1,4,33,26,3,0,2,7,1,0
4,0,0,12,4,1,0,2,2,1,0
5,1,5,38,22,5,1,5,11,7,1
6,0,7,18,11,0,0,1,6,1,0
7,11,44,142,117,26,12,19,27,15,3
8,1,24,65,40,5,0,17,15,5,2
9,35,106,255,242,87,43,170,118,64,30
10,0,15,38,24,5,1,1,5,4,0
11,9,62,273,137,18,3,21,63,32,1
12,1,18,92,62,11,4,23,23,11,0
13,9,16,61,38,10,9,23,20,13,3
14,0,20,71,27,7,0,3,8,6,0
15,138,200,474,371,102,139,298,189,101,28
16,6,81,353,245,28,11,31,47,32,3
17,13,23,68,38,10,8,5,17,6,3
18,1,22,72,58,12,2,22,19,6,1
19,7,44,215,158,16,9,39,57,28,4
20,0,8,23,14,5,1,4,3,6,0
21,17,31,93,61,26,17,66,45,19,10
22,1,8,30,16,7,1,3,9,1,0
23,4,24,118,83,13,2,38,19,11,1
24,2,10,59,34,5,2,11,9,3,2
25,4,63,370,210,26,1,16,28,22,2
26,10,94,403,248,35,3,29,50,26,5
27,2,6,44,20,5,1,7,4,0,0
28,2,31,220,200,28,2,8,32,20,2
29,0,0,10,4,2,0,0,5,0,0
30,2,16,120,96,12,5,16,43,19,4
31,1,0,5,4,4,0,0,0,1,0
32,1,62,230,130,11,1,18,53,22,0
